Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
plastic_01,50,2000x4000,3,6388941,64.2,3.00,3,6829359,64.2,0.0,0,6.89%
plastic_02,50,2000x4000,3,4384212,72.9,3.00,3,3593733,72.9,0.0,0,-18.03%
plastic_03,43,2000x4000,2,1032073,78.6,2.00,2,1088895,78.6,0.0,0,5.51%
plastic_04,36,2000x4000,2,2000876,72.3,2.00,2,2678720,72.3,0.0,0,33.88%
plastic_05,33,2000x4000,2,4245030,58.5,2.00,2,5045083,58.5,0.0,0,18.85%
plastic_06,41,2000x4000,2,2150146,70.4,2.00,2,2756057,70.4,0.0,0,28.18%
plastic_07,41,2000x4000,2,2938411,66.7,2.00,2,3361691,66.7,0.0,0,14.41%
plastic_08,45,2000x4000,2,1072980,79.7,2.00,2,845845,79.7,0.0,0,-21.17%
plastic_09,33,2000x4000,2,4792186,54.6,2.00,2,5737148,54.6,0.0,0,19.72%
plastic_10,30,2000x4000,2,7154317,49.1,2.00,2,7171705,49.1,0.0,0,0.24%
plastic_11,37,2000x4000,2,3407148,64.0,2.00,2,3702399,64.0,0.0,0,8.67%
plastic_12,49,2000x4000,2,747232,84.2,2.00,2,802869,84.2,0.0,0,7.45%
plastic_13,45,2000x4000,2,1153889,81.6,2.00,2,631011,81.6,0.0,0,-45.31%
plastic_14,39,2000x4000,2,2317473,72.5,2.00,2,2601916,72.5,0.0,0,12.27%
plastic_15,44,2000x4000,2,824079,81.0,2.00,2,1096453,81.0,0.0,0,33.05%
plastic_16,33,2000x4000,2,5741055,55.4,2.00,2,5550720,55.4,0.0,0,-3.32%
plastic_17,38,2000x4000,2,1364240,74.4,2.00,2,2081352,74.4,0.0,0,52.56%
plastic_18,47,2000x4000,3,7039561,63.8,3.00,3,6246945,63.8,0.0,0,-11.26%
plastic_19,42,2000x4000,2,682448,79.3,2.00,2,826921,79.3,0.0,0,21.17%
plastic_20,50,2000x4000,2,516195,82.5,2.00,2,737803,82.5,0.0,0,42.93%
plastic_21,45,2000x4000,2,1331085,80.4,2.00,2,1455920,80.4,0.0,0,9.38%
plastic_22,50,2000x4000,3,8055975,59.7,3.00,3,7711265,59.7,0.0,0,-4.28%
plastic_23,33,2000x4000,2,3933104,60.1,2.00,2,4899118,60.1,0.0,0,24.56%
plastic_24,49,2000x4000,3,9115778,54.3,2.00,2,949944,81.5,33.3,1,-1.82%
plastic_25,39,2000x4000,2,2061312,70.4,2.00,2,1767230,70.4,0.0,0,-14.27%
plastic_26,41,2000x4000,2,1734068,78.3,2.00,2,1227956,78.3,0.0,0,-29.19%
plastic_27,36,2000x4000,2,2599278,69.3,2.00,2,2433016,69.3,0.0,0,-6.40%
plastic_28,32,2000x4000,2,4942287,58.5,2.00,2,5485858,58.5,0.0,0,11.00%
plastic_29,33,2000x4000,2,3980168,61.2,2.00,2,4493104,61.2,0.0,0,12.89%
plastic_30,39,2000x4000,2,2801544,66.1,2.00,2,3478199,66.1,0.0,0,24.15%
