Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
composite_directional_01,37,2500x1800,3,1498312,84.4,3.67,3,1375830,84.4,0.0,0,-8.17%
fabric_02,31,1500x5000,1,791945,80.0,1.00,1,594581,80.0,0.0,0,-24.92%
metal_directional_03,25,1500x3000,3,2379782,75.4,3.00,3,2712656,75.4,0.0,0,13.99%
fabric_04,30,1500x5000,2,6369773,51.4,2.00,2,6488510,51.4,0.0,0,1.86%
composite_directional_05,37,2500x1800,3,2877426,75.4,3.00,3,2834887,75.4,0.0,0,-1.48%
composite_directional_06,35,2500x1800,3,5289126,57.5,2.00,2,610102,86.3,33.3,1,-3.38%
laminate_07,38,2800x2070,3,3849375,72.9,3.00,3,3932344,72.9,0.0,0,2.16%
composite_directional_08,42,2500x1800,3,2005793,81.6,3.00,3,1576111,81.6,0.0,0,-21.42%
fabric_09,30,1500x5000,2,4614168,64.3,2.00,2,4512685,64.3,0.0,0,-2.20%
vinyl_10,22,2000x20000,1,2570094,83.4,1.00,1,2840650,83.4,0.0,0,10.53%
paper_11,60,1000x1400,7,1442768,80.7,7.00,7,1384514,80.7,0.0,0,-4.04%
composite_directional_12,31,2500x1800,3,5563948,57.3,2.00,2,894256,86.0,33.3,1,-3.05%
vinyl_13,26,2000x20000,2,25692581,59.1,2.00,2,26410242,59.1,0.0,0,2.79%
laminate_14,25,2800x2070,2,2246941,71.6,2.00,2,2328838,71.6,0.0,0,3.64%
vinyl_15,17,2000x20000,2,34064996,52.6,2.00,2,33526056,52.6,0.0,0,-1.58%
vinyl_16,21,2000x20000,1,3864624,80.0,1.00,1,2609513,80.0,0.0,0,-32.48%
paper_17,39,1000x1400,5,1737834,70.0,5.00,5,1857991,70.0,0.0,0,6.91%
metal_directional_18,29,1500x3000,2,1398558,78.6,2.00,2,1391303,78.6,0.0,0,-0.52%
metal_directional_19,26,1500x3000,3,5603470,56.4,2.00,2,925489,84.6,33.3,1,-3.18%
paper_20,41,1000x1400,6,1321737,78.8,6.00,6,1551890,78.8,0.0,0,17.41%
metal_directional_21,31,1500x3000,4,4849322,69.8,4.00,4,4879376,69.8,0.0,0,0.62%
composite_directional_22,34,2500x1800,3,5493656,57.6,2.67,2,730524,86.5,33.3,1,-4.79%
laminate_23,28,2800x2070,2,3015001,63.7,2.00,2,3399567,63.7,0.0,0,12.76%
fabric_24,26,1500x5000,1,884355,79.8,1.00,1,846990,79.8,0.0,0,-4.23%
fabric_25,34,1500x5000,1,572273,84.9,1.00,1,294154,84.9,0.0,0,-48.60%
laminate_26,27,2800x2070,2,3127971,64.4,2.00,2,3199282,64.4,0.0,0,2.28%
composite_directional_27,34,2500x1800,3,4273356,65.7,3.00,3,4127034,65.7,0.0,0,-3.42%
composite_directional_28,40,2500x1800,2,615784,89.6,3.00,3,5027242,59.8,-50.0,-1,-1.73%
composite_directional_29,35,2500x1800,4,7160083,58.6,3.00,3,2536277,78.2,25.0,1,-1.73%
paper_30,54,1000x1400,8,2592322,72.3,7.33,7,1267425,82.6,12.5,1,2.90%
metal_directional_31,20,1500x3000,2,4453683,45.5,1.67,1,99975,91.1,50.0,1,3.28%
laminate_32,39,2800x2070,3,5938512,60.9,3.00,3,5815231,60.9,0.0,0,-2.08%
paper_33,38,1000x1400,6,1651486,74.8,6.00,6,1744091,74.8,0.0,0,5.61%
vinyl_34,28,2000x20000,2,4625829,85.6,3.00,3,41909499,57.1,-50.0,-1,-6.09%
paper_35,54,1000x1400,9,3314686,70.5,8.00,8,1834102,79.3,11.1,1,-2.43%
composite_directional_36,32,2500x1800,4,7190339,58.5,3.00,3,2699526,78.0,25.0,1,0.13%
fabric_37,20,1500x5000,1,2083560,60.3,1.00,1,2301147,60.3,0.0,0,10.44%
metal_directional_38,26,1500x3000,3,4730302,62.1,3.00,3,4692382,62.1,0.0,0,-0.80%
laminate_39,30,2800x2070,2,3422999,62.6,2.00,2,3289166,62.6,0.0,0,-3.91%
metal_directional_40,34,1500x3000,2,3670141,55.2,2.00,2,3622570,55.2,0.0,0,-1.30%
paper_41,51,1000x1400,6,1232713,79.7,6.00,6,1179034,79.7,0.0,0,-4.35%
laminate_42,25,2800x2070,2,4362028,55.2,2.00,2,4571486,55.2,0.0,0,4.80%
composite_directional_43,39,2500x1800,4,5744101,65.6,3.33,3,1089404,87.4,25.0,1,-2.69%
composite_directional_44,31,2500x1800,3,5656487,56.6,2.33,2,872314,84.8,33.3,1,-5.02%
composite_directional_45,36,2500x1800,3,6182007,50.7,2.00,2,1890046,76.0,33.3,1,3.37%
