Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
metal_directional_19,26,1500x3000,3,5603470,56.4,2.00,2,883461,84.6,33.3,1,-3.93%
paper_20,41,1000x1400,6,1321737,78.8,6.00,6,1436460,78.8,0.0,0,8.68%
metal_directional_21,31,1500x3000,4,4849322,69.8,4.00,4,4425354,69.8,0.0,0,-8.74%
composite_directional_22,34,2500x1800,3,5493656,57.6,2.22,2,766406,86.5,33.3,1,-4.14%
laminate_23,28,2800x2070,2,3015001,63.7,2.00,2,3171333,63.7,0.0,0,5.19%
fabric_24,26,1500x5000,1,884355,79.8,1.00,1,831431,79.8,0.0,0,-5.98%
fabric_25,34,1500x5000,1,572273,84.9,1.00,1,487681,84.9,0.0,0,-14.78%
laminate_26,27,2800x2070,2,3127971,64.4,2.00,2,3213509,64.4,0.0,0,2.73%
composite_directional_27,34,2500x1800,3,4273356,65.7,3.00,3,4206847,65.7,0.0,0,-1.56%
composite_directional_28,40,2500x1800,2,615784,89.6,2.78,2,552812,89.6,0.0,0,-10.23%
composite_directional_29,35,2500x1800,4,7160083,58.6,3.00,3,2388173,78.2,25.0,1,-3.80%
paper_30,54,1000x1400,8,2592322,72.3,7.22,7,1197388,82.6,12.5,1,0.20%
metal_directional_31,20,1500x3000,2,4453683,45.5,2.00,2,4682951,45.5,0.0,0,5.15%
laminate_32,39,2800x2070,3,5938512,60.9,3.00,3,5182867,60.9,0.0,0,-12.72%
paper_33,38,1000x1400,6,1651486,74.8,6.00,6,1667645,74.8,0.0,0,0.98%
vinyl_34,28,2000x20000,2,4625829,85.6,2.78,2,4083821,85.6,0.0,0,-11.72%
paper_35,54,1000x1400,9,3314686,70.5,8.00,8,1840123,79.3,11.1,1,-2.25%
composite_directional_36,32,2500x1800,4,7190339,58.5,3.00,3,2476010,78.0,25.0,1,-2.98%
fabric_37,20,1500x5000,1,2083560,60.3,1.00,1,2163781,60.3,0.0,0,3.85%
metal_directional_38,26,1500x3000,3,4730302,62.1,3.00,3,4633632,62.1,0.0,0,-2.04%
laminate_39,30,2800x2070,2,3422999,62.6,2.00,2,3680020,62.6,0.0,0,7.51%
metal_directional_40,34,1500x3000,2,3670141,55.2,2.00,2,3546792,55.2,0.0,0,-3.36%
paper_41,51,1000x1400,6,1232713,79.7,6.00,6,1228610,79.7,0.0,0,-0.33%
laminate_42,25,2800x2070,2,4362028,55.2,2.00,2,4127684,55.2,0.0,0,-5.37%
composite_directional_43,39,2500x1800,4,5744101,65.6,3.44,3,1154413,87.4,25.0,1,-1.56%
composite_directional_44,31,2500x1800,3,5656487,56.6,2.22,2,999961,84.8,33.3,1,-2.77%
composite_directional_45,36,2500x1800,3,6182007,50.7,2.00,2,1732872,76.0,33.3,1,0.82%
laminate_46,33,2800x2070,2,391636,87.1,2.22,2,176854,87.1,0.0,0,-54.84%
vinyl_47,30,2000x20000,2,39245230,47.9,2.00,2,37332870,47.9,0.0,0,-4.87%
fabric_48,31,1500x5000,2,5145574,56.1,2.00,2,5161991,56.1,0.0,0,0.32%
fabric_49,39,1500x5000,2,4765468,58.4,2.00,2,5360819,58.4,0.0,0,12.49%
fabric_50,29,1500x5000,2,7183003,44.1,1.56,1,118342,88.2,50.0,1,6.06%
vinyl_51,28,2000x20000,2,14531391,72.6,2.00,2,12710485,72.6,0.0,0,-12.53%
paper_52,39,1000x1400,5,1059094,80.2,5.00,5,934668,80.2,0.0,0,-11.75%
metal_directional_53,34,1500x3000,2,789679,86.0,2.11,2,694860,86.0,0.0,0,-12.01%
laminate_54,25,2800x2070,2,1298528,81.0,2.00,2,901478,81.0,0.0,0,-30.58%
composite_directional_55,39,2500x1800,3,4729173,62.0,3.00,3,4805716,62.0,0.0,0,1.62%
vinyl_56,17,2000x20000,1,6315249,74.6,1.00,1,4684649,74.6,0.0,0,-25.82%
composite_directional_57,36,2500x1800,3,2720744,75.9,3.00,3,2635881,75.9,0.0,0,-3.12%
composite_directional_58,35,2500x1800,2,1181009,80.8,2.00,2,1338477,80.8,0.0,0,13.33%
metal_directional_59,28,1500x3000,2,3565233,56.1,2.00,2,3463116,56.1,0.0,0,-2.86%
fabric_60,38,1500x5000,2,5958680,56.2,2.00,2,5889365,56.2,0.0,0,-1.16%
metal_directional_61,20,1500x3000,2,2455758,68.6,2.00,2,2448659,68.6,0.0,0,-0.29%
fabric_62,35,1500x5000,2,7826052,44.2,1.22,1,410683,88.3,50.0,1,1.08%
laminate_63,34,2800x2070,3,4263791,68.7,3.00,3,3986728,68.7,0.0,0,-6.50%
fabric_64,21,1500x5000,1,1812224,69.4,1.00,1,1133842,69.4,0.0,0,-37.43%
laminate_65,33,2800x2070,2,2888822,64.8,2.00,2,3157519,64.8,0.0,0,9.30%
vinyl_66,16,2000x20000,2,28643149,54.3,2.00,2,31070812,54.3,0.0,0,8.48%
fabric_67,38,1500x5000,2,4180103,64.6,2.00,2,4356252,64.6,0.0,0,4.21%
paper_68,46,1000x1400,7,2153629,72.1,6.33,6,943839,84.1,14.3,1,8.83%
vinyl_69,16,2000x20000,1,5589331,67.9,1.00,1,4305422,67.9,0.0,0,-22.97%
fabric_70,33,1500x5000,2,7512189,46.9,2.00,2,7262944,46.9,0.0,0,-3.32%
fabric_71,34,1500x5000,1,459106,85.2,1.00,1,500505,85.2,0.0,0,9.02%
paper_72,53,1000x1400,7,1701476,78.0,7.00,7,1655320,78.0,0.0,0,-2.71%
laminate_73,28,2800x2070,2,2096984,74.7,2.00,2,1956666,74.7,0.0,0,-6.69%
metal_directional_74,23,1500x3000,2,2450869,69.2,2.00,2,2223032,69.2,0.0,0,-9.30%
fabric_75,25,1500x5000,1,2184407,60.1,1.00,1,1920312,60.1,0.0,0,-12.09%
vinyl_76,26,2000x20000,2,26033217,61.0,2.00,2,26541742,61.0,0.0,0,1.95%
fabric_77,21,1500x5000,1,844349,79.8,1.00,1,648505,79.8,0.0,0,-23.19%
laminate_78,25,2800x2070,1,737381,75.7,1.00,1,599690,75.7,0.0,0,-18.67%
vinyl_79,22,2000x20000,1,1316480,84.3,1.00,1,1061866,84.3,0.0,0,-19.34%
vinyl_80,21,2000x20000,2,11591571,73.0,2.00,2,8309512,73.0,0.0,0,-28.31%
metal_directional_81,30,1500x3000,3,4056125,66.1,3.00,3,4017268,66.1,0.0,0,-0.96%
fabric_82,20,1500x5000,1,802356,74.0,1.00,1,646832,74.0,0.0,0,-19.38%
composite_directional_83,35,2500x1800,3,2054373,81.6,3.11,3,2082585,81.6,0.0,0,1.37%
laminate_84,36,2800x2070,2,198164,89.7,2.89,2,58968,89.7,0.0,0,-70.24%
metal_directional_85,28,1500x3000,2,2094034,72.9,2.00,2,1959537,72.9,0.0,0,-6.42%
fabric_86,26,1500x5000,1,1277710,70.7,1.00,1,1228609,70.7,0.0,0,-3.84%
paper_87,36,1000x1400,6,2629712,66.5,5.00,5,1145517,79.7,16.7,1,-3.20%
laminate_88,25,2800x2070,2,3810588,60.8,2.00,2,3563606,60.8,0.0,0,-6.48%
paper_89,53,1000x1400,8,2691353,72.0,7.33,7,1406372,82.2,12.5,1,4.27%
composite_directional_90,35,2500x1800,3,4881731,59.1,2.22,2,771952,88.7,33.3,1,7.99%
fabric_91,26,1500x5000,2,7352478,47.6,2.00,2,7174039,47.6,0.0,0,-2.43%
fabric_92,32,1500x5000,1,850386,77.8,1.00,1,320308,77.8,0.0,0,-62.33%
composite_directional_93,38,2500x1800,3,3803337,69.2,3.00,3,3733220,69.2,0.0,0,-1.84%
composite_directional_94,31,2500x1800,3,4998605,60.6,2.89,2,423277,90.9,33.3,1,-1.51%
paper_95,60,1000x1400,7,1921075,75.7,7.00,7,1953181,75.7,0.0,0,1.67%
vinyl_96,15,2000x20000,1,10366649,58.9,1.00,1,10056778,58.9,0.0,0,-2.99%
metal_directional_97,24,1500x3000,2,3316304,59.9,2.00,2,3162485,59.9,0.0,0,-4.64%
vinyl_98,19,2000x20000,2,39534321,45.4,2.00,2,38562982,45.4,0.0,0,-2.46%
fabric_99,27,1500x5000,1,1882158,65.5,1.00,1,1491404,65.5,0.0,0,-20.76%
vinyl_100,16,2000x20000,1,6989742,75.0,1.00,1,6891843,75.0,0.0,0,-1.40%
