Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
composite_directional_01,37,2500x1800,3,1498312,84.4,3.00,3,1441446,84.4,0.0,0,-3.80%
fabric_02,31,1500x5000,1,791945,80.0,1.00,1,843961,80.0,0.0,0,6.57%
metal_directional_03,25,1500x3000,3,2379782,75.4,3.00,3,2572258,75.4,0.0,0,8.09%
fabric_04,30,1500x5000,2,6369773,51.4,2.00,2,6470928,51.4,0.0,0,1.59%
composite_directional_05,37,2500x1800,3,2877426,75.4,3.00,3,2729732,75.4,0.0,0,-5.13%
composite_directional_06,35,2500x1800,3,5289126,57.5,2.00,2,753849,86.3,33.3,1,-0.67%
laminate_07,38,2800x2070,3,3849375,72.9,3.00,3,3250824,72.9,0.0,0,-15.55%
composite_directional_08,42,2500x1800,3,2005793,81.6,3.00,3,2072023,81.6,0.0,0,3.30%
fabric_09,30,1500x5000,2,4614168,64.3,2.00,2,4476886,64.3,0.0,0,-2.98%
vinyl_10,22,2000x20000,1,2570094,83.4,1.11,1,2181853,83.4,0.0,0,-15.11%
paper_11,60,1000x1400,7,1442768,80.7,7.00,7,1484423,80.7,0.0,0,2.89%
composite_directional_12,31,2500x1800,3,5563948,57.3,2.00,2,783500,86.0,33.3,1,-5.04%
vinyl_13,26,2000x20000,2,25692581,59.1,2.00,2,27317232,59.1,0.0,0,6.32%
laminate_14,25,2800x2070,2,2246941,71.6,2.00,2,2250716,71.6,0.0,0,0.17%
vinyl_15,17,2000x20000,2,34064996,52.6,2.00,2,33711893,52.6,0.0,0,-1.04%
vinyl_16,21,2000x20000,1,3864624,80.0,1.00,1,2929095,80.0,0.0,0,-24.21%
paper_17,39,1000x1400,5,1737834,70.0,4.89,4,359228,87.5,20.0,1,1.23%
metal_directional_18,29,1500x3000,2,1398558,78.6,2.00,2,1322868,78.6,0.0,0,-5.41%
