Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
plastic_01,50,2000x4000,3,6670500,64.2,3.00,3,6715546,64.2,0.0,0,0.68%
plastic_02,50,2000x4000,3,4007226,72.9,3.00,3,4319240,72.9,0.0,0,7.79%
plastic_03,43,2000x4000,2,813963,78.6,2.00,2,1583245,78.6,0.0,0,94.51%
plastic_04,36,2000x4000,2,2140603,72.3,2.00,2,2188836,72.3,0.0,0,2.25%
plastic_05,33,2000x4000,2,4873891,58.5,2.00,2,5680189,58.5,0.0,0,16.54%
plastic_06,41,2000x4000,2,2229325,70.4,2.00,2,2756812,70.4,0.0,0,23.66%
plastic_07,41,2000x4000,2,3459680,66.7,2.00,2,3174439,66.7,0.0,0,-8.24%
plastic_08,45,2000x4000,2,948924,79.7,2.00,2,1134055,79.7,0.0,0,19.51%
plastic_09,33,2000x4000,2,5083542,54.6,2.00,2,5766227,54.6,0.0,0,13.43%
plastic_10,30,2000x4000,2,7076140,49.1,2.00,2,6756276,49.1,0.0,0,-4.52%
plastic_11,37,2000x4000,2,3003694,64.0,2.00,2,4453511,64.0,0.0,0,48.27%
plastic_12,49,2000x4000,2,744637,84.2,2.11,2,999458,84.2,0.0,0,34.22%
plastic_13,45,2000x4000,2,1155010,81.6,2.00,2,774420,81.6,0.0,0,-32.95%
plastic_14,39,2000x4000,2,2599023,72.5,2.00,2,2387674,72.5,0.0,0,-8.13%
plastic_15,44,2000x4000,2,979799,81.0,2.00,2,1413527,81.0,0.0,0,44.27%
plastic_16,33,2000x4000,2,5811039,55.4,2.00,2,5563648,55.4,0.0,0,-4.26%
plastic_17,38,2000x4000,2,1546741,74.4,2.00,2,2508204,74.4,0.0,0,62.16%
plastic_18,47,2000x4000,3,6264570,63.8,3.00,3,6437649,63.8,0.0,0,2.76%
plastic_19,42,2000x4000,2,1379686,79.3,2.00,2,1272144,79.3,0.0,0,-7.79%
plastic_20,50,2000x4000,2,460442,82.5,2.11,2,472607,82.5,0.0,0,2.64%
plastic_21,45,2000x4000,2,896511,80.4,2.00,2,965780,80.4,0.0,0,7.73%
plastic_22,50,2000x4000,3,8182938,59.7,3.00,3,7711231,59.7,0.0,0,-5.76%
plastic_23,33,2000x4000,2,5076430,60.1,2.00,2,4699666,60.1,0.0,0,-7.42%
plastic_24,49,2000x4000,2,1006299,81.5,2.00,2,885123,81.5,0.0,0,-12.04%
plastic_25,39,2000x4000,2,1154776,70.4,2.00,2,1985367,70.4,0.0,0,71.93%
plastic_26,41,2000x4000,2,1753551,78.3,2.00,2,1396823,78.3,0.0,0,-20.34%
plastic_27,36,2000x4000,2,2737948,69.3,2.00,2,2285933,69.3,0.0,0,-16.51%
plastic_28,32,2000x4000,2,5341633,58.5,2.00,2,5495329,58.5,0.0,0,2.88%
plastic_29,33,2000x4000,2,4360655,61.2,2.00,2,4868351,61.2,0.0,0,11.64%
plastic_30,39,2000x4000,2,3479506,66.1,2.00,2,3906145,66.1,0.0,0,12.26%
