Набор,Дет,WxH,FFD л,FFD ост (пл),FFD ост (шт),FFD %,SA ср,SA л,SA ост (пл),SA ост (шт),SA %,Улучш%,Δ лист,Тип,Выгода ост% (при равных листах)
composite_directional_01,37,2500x1800,4,6290372,37,63.3,3.40,3,1776227,33,84.4,25.0,1,Экономия листов,-
fabric_02,31,1500x5000,1,791945,16,80.0,1.00,1,866698,38,80.0,0.0,0,Улучшение заполнения,9.44%
metal_directional_03,25,1500x3000,3,2580698,22,75.4,3.00,3,3052054,65,75.4,0.0,0,Улучшение заполнения,18.26%
fabric_04,30,1500x5000,2,6727626,33,51.4,2.00,2,7012497,45,51.4,0.0,0,Улучшение заполнения,4.23%
composite_directional_05,37,2500x1800,3,2969825,19,75.4,3.20,3,3063840,51,75.4,0.0,0,Улучшение заполнения,3.17%
composite_directional_06,35,2500x1800,2,718555,9,86.3,2.00,2,887991,23,86.3,0.0,0,Улучшение заполнения,23.58%
laminate_07,38,2800x2070,3,3849701,24,72.9,3.00,3,4109520,38,72.9,0.0,0,Улучшение заполнения,6.75%
composite_directional_08,42,2500x1800,3,1985053,48,81.6,3.00,3,2211855,43,81.6,0.0,0,Улучшение заполнения,11.43%
fabric_09,30,1500x5000,2,4632397,42,64.3,2.00,2,5046091,87,64.3,0.0,0,Улучшение заполнения,8.93%
vinyl_10,22,2000x20000,1,2570094,7,83.4,1.00,1,4666166,17,83.4,0.0,0,Улучшение заполнения,81.56%
paper_11,60,1000x1400,7,1468206,50,80.7,7.00,7,1657362,73,80.7,0.0,0,Улучшение заполнения,12.88%
composite_directional_12,31,2500x1800,2,1084454,27,86.0,2.40,2,1004871,29,86.0,0.0,0,Ухудшение заполнения,-7.34%
vinyl_13,26,2000x20000,2,25692581,17,59.1,2.00,2,29808113,12,59.1,0.0,0,Улучшение заполнения,16.02%
laminate_14,25,2800x2070,2,2246941,28,71.6,2.00,2,2879734,35,71.6,0.0,0,Улучшение заполнения,28.16%
vinyl_15,17,2000x20000,2,35124630,13,52.6,2.00,2,35118168,21,52.6,0.0,0,Ухудшение заполнения,-0.02%
vinyl_16,21,2000x20000,1,3864624,10,80.0,1.00,1,4890453,12,80.0,0.0,0,Улучшение заполнения,26.54%
paper_17,39,1000x1400,5,1881575,51,70.0,4.80,4,432359,23,87.5,20.0,1,Экономия листов,-
metal_directional_18,29,1500x3000,2,1435260,26,78.6,2.00,2,1768374,38,78.6,0.0,0,Улучшение заполнения,23.21%
metal_directional_19,26,1500x3000,2,1010351,33,84.6,2.00,2,1192164,57,84.6,0.0,0,Улучшение заполнения,18.00%
paper_20,41,1000x1400,6,1321737,33,78.8,6.00,6,1633822,58,78.8,0.0,0,Улучшение заполнения,23.61%
metal_directional_21,31,1500x3000,4,4757566,30,69.8,4.00,4,5322332,74,69.8,0.0,0,Улучшение заполнения,11.87%
composite_directional_22,34,2500x1800,3,5316442,39,57.6,2.20,2,934771,35,86.5,33.3,1,Экономия листов,-
laminate_23,28,2800x2070,2,3241504,16,63.7,2.00,2,3919810,39,63.7,0.0,0,Улучшение заполнения,20.93%
fabric_24,26,1500x5000,1,884355,29,79.8,1.00,1,1146765,61,79.8,0.0,0,Улучшение заполнения,29.67%
fabric_25,34,1500x5000,1,572273,23,84.9,1.00,1,530453,30,84.9,0.0,0,Ухудшение заполнения,-7.31%
laminate_26,27,2800x2070,2,3063374,12,64.4,2.00,2,3798905,31,64.4,0.0,0,Улучшение заполнения,24.01%
composite_directional_27,34,2500x1800,3,4223340,22,65.7,3.00,3,4407857,69,65.7,0.0,0,Улучшение заполнения,4.37%
composite_directional_28,40,2500x1800,2,478916,32,89.6,2.60,2,695790,15,89.6,0.0,0,Улучшение заполнения,45.28%
composite_directional_29,35,2500x1800,3,2637338,31,78.2,3.00,3,2835567,63,78.2,0.0,0,Улучшение заполнения,7.52%
paper_30,54,1000x1400,8,2568049,50,72.3,7.40,7,1263345,64,82.6,12.5,1,Экономия листов,-
metal_directional_31,20,1500x3000,2,4621225,11,45.5,2.00,2,4719203,32,45.5,0.0,0,Улучшение заполнения,2.12%
laminate_32,39,2800x2070,3,5759318,5,60.9,3.00,3,6332235,40,60.9,0.0,0,Улучшение заполнения,9.95%
paper_33,38,1000x1400,6,1605061,20,74.8,6.00,6,1948280,52,74.8,0.0,0,Улучшение заполнения,21.38%
vinyl_34,28,2000x20000,2,6928675,20,85.6,2.60,2,7986556,18,85.6,0.0,0,Улучшение заполнения,15.27%
paper_35,54,1000x1400,8,1796850,42,79.3,8.00,8,2088695,87,79.3,0.0,0,Улучшение заполнения,16.24%
composite_directional_36,32,2500x1800,4,7111785,24,58.5,3.00,3,2774519,34,78.0,25.0,1,Экономия листов,-
fabric_37,20,1500x5000,1,2083560,26,60.3,1.00,1,2815035,62,60.3,0.0,0,Улучшение заполнения,35.11%
metal_directional_38,26,1500x3000,3,4669821,31,62.1,3.00,3,4953440,58,62.1,0.0,0,Улучшение заполнения,6.07%
laminate_39,30,2800x2070,2,3031237,11,62.6,2.00,2,3853707,42,62.6,0.0,0,Улучшение заполнения,27.13%
metal_directional_40,34,1500x3000,2,3543190,26,55.2,2.00,2,3831042,53,55.2,0.0,0,Улучшение заполнения,8.12%
paper_41,51,1000x1400,6,1208885,32,79.7,6.00,6,1447348,53,79.7,0.0,0,Улучшение заполнения,19.73%
laminate_42,25,2800x2070,2,4364037,20,55.2,2.00,2,4811891,19,55.2,0.0,0,Улучшение заполнения,10.26%
composite_directional_43,39,2500x1800,4,5720545,38,65.6,3.60,3,1389553,56,87.4,25.0,1,Экономия листов,-
composite_directional_44,31,2500x1800,3,5476447,31,56.6,2.00,2,1170255,40,84.8,33.3,1,Экономия листов,-
composite_directional_45,36,2500x1800,2,1789795,31,76.0,2.00,2,2015061,68,76.0,0.0,0,Улучшение заполнения,12.59%
laminate_46,33,2800x2070,3,6187742,20,58.1,2.40,2,387394,6,87.1,33.3,1,Экономия листов,-
vinyl_47,30,2000x20000,2,39245230,3,47.9,2.00,2,38614149,18,47.9,0.0,0,Ухудшение заполнения,-1.61%
fabric_48,31,1500x5000,2,5447152,26,56.1,2.00,2,6141970,43,56.1,0.0,0,Улучшение заполнения,12.76%
fabric_49,39,1500x5000,2,4829579,17,58.4,2.00,2,5799936,96,58.4,0.0,0,Улучшение заполнения,20.09%
fabric_50,29,1500x5000,2,7467440,18,44.1,1.60,1,387842,18,88.2,50.0,1,Экономия листов,-
vinyl_51,28,2000x20000,2,14531391,19,72.6,2.00,2,18424999,20,72.6,0.0,0,Улучшение заполнения,26.79%
paper_52,39,1000x1400,5,997863,38,80.2,5.00,5,1203865,45,80.2,0.0,0,Улучшение заполнения,20.64%
metal_directional_53,34,1500x3000,2,612574,17,86.0,2.00,2,806621,31,86.0,0.0,0,Улучшение заполнения,31.68%
laminate_54,25,2800x2070,2,1164932,18,81.0,2.00,2,1495834,17,81.0,0.0,0,Улучшение заполнения,28.41%
composite_directional_55,39,2500x1800,2,270898,14,93.1,3.00,3,4963951,31,62.0,-50.0,-1,Хуже (больше листов),-
vinyl_56,17,2000x20000,1,6315249,9,74.6,1.00,1,7757073,36,74.6,0.0,0,Улучшение заполнения,22.83%
composite_directional_57,36,2500x1800,3,3035706,28,75.9,3.00,3,3065444,50,75.9,0.0,0,Улучшение заполнения,0.98%
composite_directional_58,35,2500x1800,2,1247661,37,80.8,2.00,2,1546733,34,80.8,0.0,0,Улучшение заполнения,23.97%
metal_directional_59,28,1500x3000,2,3565233,22,56.1,2.00,2,3709164,54,56.1,0.0,0,Улучшение заполнения,4.04%
fabric_60,38,1500x5000,2,5910451,24,56.2,2.00,2,6227953,36,56.2,0.0,0,Улучшение заполнения,5.37%
metal_directional_61,20,1500x3000,2,2215291,9,68.6,2.00,2,2665497,41,68.6,0.0,0,Улучшение заполнения,20.32%
fabric_62,35,1500x5000,2,7826052,30,44.2,1.20,1,482905,35,88.3,50.0,1,Экономия листов,-
laminate_63,34,2800x2070,3,4149966,29,68.7,3.00,3,4600188,47,68.7,0.0,0,Улучшение заполнения,10.85%
fabric_64,21,1500x5000,1,1812224,25,69.4,1.00,1,2057583,48,69.4,0.0,0,Улучшение заполнения,13.54%
laminate_65,33,2800x2070,2,2498958,8,64.8,2.00,2,3713782,32,64.8,0.0,0,Улучшение заполнения,48.61%
vinyl_66,16,2000x20000,2,28643149,9,54.3,2.00,2,35132942,27,54.3,0.0,0,Улучшение заполнения,22.66%
fabric_67,38,1500x5000,2,3849810,33,64.6,2.00,2,4711496,31,64.6,0.0,0,Улучшение заполнения,22.38%
paper_68,46,1000x1400,6,822987,30,84.1,6.80,6,1030571,38,84.1,0.0,0,Улучшение заполнения,25.22%
vinyl_69,16,2000x20000,1,5589331,4,67.9,1.00,1,9725790,16,67.9,0.0,0,Улучшение заполнения,74.01%
fabric_70,33,1500x5000,2,7599682,18,46.9,2.00,2,7554945,48,46.9,0.0,0,Ухудшение заполнения,-0.59%
fabric_71,34,1500x5000,1,459106,27,85.2,1.00,1,764992,51,85.2,0.0,0,Улучшение заполнения,66.63%
paper_72,53,1000x1400,7,1763104,36,78.0,7.00,7,1862793,61,78.0,0.0,0,Улучшение заполнения,5.65%
laminate_73,28,2800x2070,2,2083518,22,74.7,2.00,2,2467534,27,74.7,0.0,0,Улучшение заполнения,18.43%
metal_directional_74,23,1500x3000,2,2369482,25,69.2,2.00,2,2661674,71,69.2,0.0,0,Улучшение заполнения,12.33%
fabric_75,25,1500x5000,1,2184407,42,60.1,1.00,1,2519933,59,60.1,0.0,0,Улучшение заполнения,15.36%
vinyl_76,26,2000x20000,2,26528175,7,61.0,2.00,2,29070569,17,61.0,0.0,0,Улучшение заполнения,9.58%
fabric_77,21,1500x5000,1,844349,21,79.8,1.00,1,1236426,39,79.8,0.0,0,Улучшение заполнения,46.44%
laminate_78,25,2800x2070,1,737381,10,75.7,1.00,1,981031,23,75.7,0.0,0,Улучшение заполнения,33.04%
vinyl_79,22,2000x20000,1,1316480,3,84.3,1.00,1,2762010,10,84.3,0.0,0,Улучшение заполнения,109.80%
vinyl_80,21,2000x20000,2,11591571,11,73.0,2.00,2,19297539,21,73.0,0.0,0,Улучшение заполнения,66.48%
metal_directional_81,30,1500x3000,3,4127633,34,66.1,3.00,3,4444097,60,66.1,0.0,0,Улучшение заполнения,7.67%
fabric_82,20,1500x5000,1,802356,12,74.0,1.00,1,994481,16,74.0,0.0,0,Улучшение заполнения,23.95%
composite_directional_83,35,2500x1800,3,2136149,24,81.6,3.60,3,2375153,43,81.6,0.0,0,Улучшение заполнения,11.19%
laminate_84,36,2800x2070,3,5977327,9,59.8,2.80,2,502813,15,89.7,33.3,1,Экономия листов,-
