Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
strip_01,31,3210x6000,1,13516271,15.1,1.00,1,14221963,15.1,0.0,0,5.22%
strip_02,52,4000x3000,1,5401729,38.9,1.00,1,5511492,38.9,0.0,0,2.03%
strip_03,28,2500x1500,2,3542544,44.8,1.89,1,49800,89.5,50.0,1,7.26%
strip_04,37,2000x6000,1,4493542,52.2,1.00,1,4835615,52.2,0.0,0,7.61%
strip_05,31,1500x2500,2,4295278,36.7,1.44,1,504738,73.3,50.0,1,-0.94%
strip_06,50,3210x2500,1,2340232,54.6,1.00,1,2567348,54.6,0.0,0,9.70%
strip_07,36,4000x1220,2,4437529,43.6,2.00,2,4486942,43.6,0.0,0,1.11%
strip_08,41,4000x4000,1,9927549,24.9,1.00,1,8728346,24.9,0.0,0,-12.08%
strip_09,49,2500x6000,1,5488000,42.7,1.00,1,4519290,42.7,0.0,0,-17.65%
strip_10,38,2500x2000,1,840687,69.0,1.00,1,707244,69.0,0.0,0,-15.87%
strip_11,45,2440x6000,1,5547702,42.3,1.00,1,4690483,42.3,0.0,0,-15.45%
strip_12,31,2000x1000,2,778833,70.3,2.00,2,907133,70.3,0.0,0,16.47%
strip_13,36,2440x1500,2,2544723,54.9,2.00,2,2706437,54.9,0.0,0,6.35%
strip_14,59,1500x1220,3,1096064,70.1,3.00,3,1172214,70.1,0.0,0,6.95%
strip_15,40,3210x4000,1,5152355,40.8,1.00,1,5159807,40.8,0.0,0,0.14%
strip_16,46,3000x1000,3,2355764,69.0,3.00,3,2476124,69.0,0.0,0,5.11%
strip_17,49,2500x4000,2,11689547,35.9,1.44,1,1604679,71.8,50.0,1,-0.73%
strip_18,22,3210x6000,1,16156198,11.0,1.00,1,15743880,11.0,0.0,0,-2.55%
strip_19,51,2440x1220,2,2384507,51.6,2.00,2,2201415,51.6,0.0,0,-7.68%
strip_20,54,2500x1000,2,862526,73.1,2.00,2,727563,73.1,0.0,0,-15.65%
strip_21,45,2440x1220,3,1617138,73.7,3.00,3,1474170,73.7,0.0,0,-8.84%
strip_22,48,3210x2000,2,4671396,59.8,2.00,2,4564777,59.8,0.0,0,-2.28%
strip_23,35,3000x1220,1,61267,80.4,1.00,1,84863,80.4,0.0,0,38.51%
strip_24,59,2000x2500,2,4103386,52.6,2.00,2,3966971,52.6,0.0,0,-3.32%
strip_25,20,1500x6000,1,4363272,26.8,1.00,1,4032410,26.8,0.0,0,-7.58%
strip_26,35,4000x1500,1,2670932,43.5,1.00,1,2468656,43.5,0.0,0,-7.57%
strip_27,45,2440x6000,1,2748463,66.9,1.00,1,2248703,66.9,0.0,0,-18.18%
strip_28,34,2000x1220,3,2109574,60.4,3.00,3,2131198,60.4,0.0,0,1.03%
strip_29,36,1500x6000,1,4550365,28.8,1.00,1,3445280,28.8,0.0,0,-24.29%
strip_30,60,2500x3000,1,530502,79.2,1.00,1,43053,79.2,0.0,0,-91.88%
