Набор,Дет,WxH,FFD л,FFD ост (пл),FFD ост (шт),FFD %,SA ср,SA л,SA ост (пл),SA ост (шт),SA %,Улучш%,Δ лист,Тип,Выгода ост% (при равных листах)
laminate_88,25,2800x2070,2,3850955,17,60.8,2.00,2,4144530,34,60.8,0.0,0,Улучшение заполнения,7.62%
paper_89,53,1000x1400,8,2812912,55,72.0,7.60,7,1482069,83,82.2,12.5,1,Экономия листов,-
composite_directional_90,35,2500x1800,2,467158,16,88.7,2.60,2,838164,35,88.7,0.0,0,Улучшение заполнения,79.42%
fabric_91,26,1500x5000,2,7319045,19,47.6,2.00,2,7482103,20,47.6,0.0,0,Улучшение заполнения,2.23%
fabric_92,32,1500x5000,1,850386,22,77.8,1.00,1,1258021,88,77.8,0.0,0,Улучшение заполнения,47.94%
composite_directional_93,38,2500x1800,3,3894223,33,69.2,3.00,3,3951972,41,69.2,0.0,0,Улучшение заполнения,1.48%
composite_directional_94,31,2500x1800,2,494699,19,90.9,3.00,3,5118592,68,60.6,-50.0,-1,Хуже (больше листов),-
paper_95,60,1000x1400,7,1901631,37,75.7,7.00,7,2189024,82,75.7,0.0,0,Улучшение заполнения,15.11%
vinyl_96,15,2000x20000,1,10366649,9,58.9,1.00,1,12060117,11,58.9,0.0,0,Улучшение заполнения,16.34%
metal_directional_97,24,1500x3000,2,3415004,22,59.9,2.00,2,3442633,16,59.9,0.0,0,Улучшение заполнения,0.81%
vinyl_98,19,2000x20000,2,39534321,8,45.4,2.00,2,40552926,24,45.4,0.0,0,Улучшение заполнения,2.58%
fabric_99,27,1500x5000,1,1882158,30,65.5,1.00,1,2121485,50,65.5,0.0,0,Улучшение заполнения,12.72%
vinyl_100,16,2000x20000,1,6989742,14,75.0,1.00,1,7527829,19,75.0,0.0,0,Улучшение заполнения,7.70%
