Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
metal_directional_81,30,1500x3000,3,4056125,66.1,3.00,3,4299675,66.1,0.0,0,6.00%
fabric_82,20,1500x5000,1,802356,74.0,1.00,1,231278,74.0,0.0,0,-71.18%
composite_directional_83,35,2500x1800,3,2054373,81.6,3.00,3,2018411,81.6,0.0,0,-1.75%
laminate_84,36,2800x2070,2,198164,89.7,3.00,3,5454035,59.8,-50.0,-1,-9.01%
metal_directional_85,28,1500x3000,2,2094034,72.9,2.00,2,1819245,72.9,0.0,0,-13.12%
fabric_86,26,1500x5000,1,1277710,70.7,1.00,1,1179028,70.7,0.0,0,-7.72%
paper_87,36,1000x1400,6,2629712,66.5,5.00,5,940165,79.7,16.7,1,-11.01%
laminate_88,25,2800x2070,2,3810588,60.8,2.00,2,3868868,60.8,0.0,0,1.53%
paper_89,53,1000x1400,8,2691353,72.0,7.00,7,1312082,82.2,12.5,1,0.77%
composite_directional_90,35,2500x1800,3,4881731,59.1,2.33,2,628020,88.7,33.3,1,5.05%
fabric_91,26,1500x5000,2,7352478,47.6,2.00,2,6979500,47.6,0.0,0,-5.07%
fabric_92,32,1500x5000,1,850386,77.8,1.00,1,869657,77.8,0.0,0,2.27%
composite_directional_93,38,2500x1800,3,3803337,69.2,3.00,3,3518713,69.2,0.0,0,-7.48%
composite_directional_94,31,2500x1800,3,4998605,60.6,3.00,3,4864257,60.6,0.0,0,-2.69%
paper_95,60,1000x1400,7,1921075,75.7,7.00,7,1888672,75.7,0.0,0,-1.69%
vinyl_96,15,2000x20000,1,10366649,58.9,1.00,1,10219672,58.9,0.0,0,-1.42%
metal_directional_97,24,1500x3000,2,3316304,59.9,2.00,2,3220762,59.9,0.0,0,-2.88%
vinyl_98,19,2000x20000,2,39534321,45.4,2.00,2,38812796,45.4,0.0,0,-1.83%
fabric_99,27,1500x5000,1,1882158,65.5,1.00,1,1749299,65.5,0.0,0,-7.06%
vinyl_100,16,2000x20000,1,6989742,75.0,1.00,1,3303468,75.0,0.0,0,-52.74%
