Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
composite_directional_01,37,2500x1800,3,1498312,84.4,3.00,3,1209582,84.4,0.0,0,-19.27%
fabric_02,31,1500x5000,1,791945,80.0,1.00,1,594720,80.0,0.0,0,-24.90%
metal_directional_03,25,1500x3000,3,2379782,75.4,3.00,3,2718208,75.4,0.0,0,14.22%
fabric_04,30,1500x5000,2,6369773,51.4,2.00,2,6489000,51.4,0.0,0,1.87%
composite_directional_05,37,2500x1800,3,2877426,75.4,3.00,3,2942089,75.4,0.0,0,2.25%
composite_directional_06,35,2500x1800,3,5289126,57.5,2.00,2,521976,86.3,33.3,1,-5.05%
laminate_07,38,2800x2070,3,3849375,72.9,3.00,3,3229954,72.9,0.0,0,-16.09%
composite_directional_08,42,2500x1800,3,2005793,81.6,3.00,3,2136212,81.6,0.0,0,6.50%
fabric_09,30,1500x5000,2,4614168,64.3,2.00,2,4746542,64.3,0.0,0,2.87%
vinyl_10,22,2000x20000,1,2570094,83.4,1.00,1,2494622,83.4,0.0,0,-2.94%
paper_11,60,1000x1400,7,1442768,80.7,7.00,7,1451092,80.7,0.0,0,0.58%
composite_directional_12,31,2500x1800,3,5563948,57.3,2.33,2,679548,86.0,33.3,1,-6.91%
vinyl_13,26,2000x20000,2,25692581,59.1,2.00,2,27285574,59.1,0.0,0,6.20%
laminate_14,25,2800x2070,2,2246941,71.6,2.00,2,2149899,71.6,0.0,0,-4.32%
vinyl_15,17,2000x20000,2,34064996,52.6,2.00,2,30262012,52.6,0.0,0,-11.16%
vinyl_16,21,2000x20000,1,3864624,80.0,1.00,1,2221038,80.0,0.0,0,-42.53%
paper_17,39,1000x1400,5,1737834,70.0,4.33,4,380216,87.5,20.0,1,2.44%
metal_directional_18,29,1500x3000,2,1398558,78.6,2.00,2,1515380,78.6,0.0,0,8.35%
metal_directional_19,26,1500x3000,3,5603470,56.4,2.00,2,930342,84.6,33.3,1,-3.09%
paper_20,41,1000x1400,6,1321737,78.8,6.00,6,1305226,78.8,0.0,0,-1.25%
metal_directional_21,31,1500x3000,4,4849322,69.8,4.00,4,4773503,69.8,0.0,0,-1.56%
composite_directional_22,34,2500x1800,3,5493656,57.6,2.00,2,807368,86.5,33.3,1,-3.39%
laminate_23,28,2800x2070,2,3015001,63.7,2.00,2,3315092,63.7,0.0,0,9.95%
fabric_24,26,1500x5000,1,884355,79.8,1.00,1,956638,79.8,0.0,0,8.17%
fabric_25,34,1500x5000,1,572273,84.9,1.00,1,279634,84.9,0.0,0,-51.14%
laminate_26,27,2800x2070,2,3127971,64.4,2.00,2,3130734,64.4,0.0,0,0.09%
composite_directional_27,34,2500x1800,3,4273356,65.7,3.00,3,4208634,65.7,0.0,0,-1.51%
composite_directional_28,40,2500x1800,2,615784,89.6,2.67,2,399563,89.6,0.0,0,-35.11%
composite_directional_29,35,2500x1800,4,7160083,58.6,3.00,3,2555763,78.2,25.0,1,-1.46%
paper_30,54,1000x1400,8,2592322,72.3,7.33,7,1053062,82.6,12.5,1,-5.37%
metal_directional_31,20,1500x3000,2,4453683,45.5,1.67,1,113990,91.1,50.0,1,3.60%
laminate_32,39,2800x2070,3,5938512,60.9,3.00,3,5842205,60.9,0.0,0,-1.62%
paper_33,38,1000x1400,6,1651486,74.8,6.00,6,1579830,74.8,0.0,0,-4.34%
vinyl_34,28,2000x20000,2,4625829,85.6,2.67,2,3942917,85.6,0.0,0,-14.76%
paper_35,54,1000x1400,9,3314686,70.5,8.00,8,1817107,79.3,11.1,1,-2.94%
composite_directional_36,32,2500x1800,4,7190339,58.5,3.00,3,2633153,78.0,25.0,1,-0.80%
fabric_37,20,1500x5000,1,2083560,60.3,1.00,1,2538541,60.3,0.0,0,21.84%
metal_directional_38,26,1500x3000,3,4730302,62.1,3.00,3,4742103,62.1,0.0,0,0.25%
laminate_39,30,2800x2070,2,3422999,62.6,2.00,2,3335266,62.6,0.0,0,-2.56%
metal_directional_40,34,1500x3000,2,3670141,55.2,2.00,2,3603620,55.2,0.0,0,-1.81%
paper_41,51,1000x1400,6,1232713,79.7,6.00,6,1080242,79.7,0.0,0,-12.37%
laminate_42,25,2800x2070,2,4362028,55.2,2.00,2,4389031,55.2,0.0,0,0.62%
composite_directional_43,39,2500x1800,4,5744101,65.6,3.00,3,1099195,87.4,25.0,1,-2.52%
composite_directional_44,31,2500x1800,3,5656487,56.6,2.00,2,934399,84.8,33.3,1,-3.93%
composite_directional_45,36,2500x1800,3,6182007,50.7,2.00,2,1875165,76.0,33.3,1,3.12%
laminate_46,33,2800x2070,2,391636,87.1,2.33,2,591671,87.1,0.0,0,51.08%
vinyl_47,30,2000x20000,2,39245230,47.9,2.00,2,38159462,47.9,0.0,0,-2.77%
fabric_48,31,1500x5000,2,5145574,56.1,2.00,2,5364516,56.1,0.0,0,4.25%
fabric_49,39,1500x5000,2,4765468,58.4,2.00,2,5314907,58.4,0.0,0,11.53%
fabric_50,29,1500x5000,2,7183003,44.1,2.00,2,7116622,44.1,0.0,0,-0.92%
vinyl_51,28,2000x20000,2,14531391,72.6,2.00,2,16340694,72.6,0.0,0,12.45%
paper_52,39,1000x1400,5,1059094,80.2,5.00,5,941314,80.2,0.0,0,-11.12%
metal_directional_53,34,1500x3000,2,789679,86.0,2.00,2,680312,86.0,0.0,0,-13.85%
laminate_54,25,2800x2070,2,1298528,81.0,2.00,2,847086,81.0,0.0,0,-34.77%
composite_directional_55,39,2500x1800,3,4729173,62.0,3.00,3,4709476,62.0,0.0,0,-0.42%
vinyl_56,17,2000x20000,1,6315249,74.6,1.00,1,5539467,74.6,0.0,0,-12.28%
composite_directional_57,36,2500x1800,3,2720744,75.9,3.00,3,2919237,75.9,0.0,0,7.30%
composite_directional_58,35,2500x1800,2,1181009,80.8,2.00,2,1296092,80.8,0.0,0,9.74%
metal_directional_59,28,1500x3000,2,3565233,56.1,2.00,2,3733076,56.1,0.0,0,4.71%
fabric_60,38,1500x5000,2,5958680,56.2,2.00,2,5817880,56.2,0.0,0,-2.36%
metal_directional_61,20,1500x3000,2,2455758,68.6,2.00,2,2508737,68.6,0.0,0,2.16%
fabric_62,35,1500x5000,2,7826052,44.2,1.67,1,405451,88.3,50.0,1,1.01%
laminate_63,34,2800x2070,3,4263791,68.7,3.00,3,3754148,68.7,0.0,0,-11.95%
fabric_64,21,1500x5000,1,1812224,69.4,1.00,1,1214069,69.4,0.0,0,-33.01%
laminate_65,33,2800x2070,2,2888822,64.8,2.00,2,3240581,64.8,0.0,0,12.18%
vinyl_66,16,2000x20000,2,28643149,54.3,2.00,2,32207195,54.3,0.0,0,12.44%
fabric_67,38,1500x5000,2,4180103,64.6,2.00,2,4155257,64.6,0.0,0,-0.59%
paper_68,46,1000x1400,7,2153629,72.1,6.67,6,920079,84.1,14.3,1,7.73%
vinyl_69,16,2000x20000,1,5589331,67.9,1.00,1,5656919,67.9,0.0,0,1.21%
fabric_70,33,1500x5000,2,7512189,46.9,2.00,2,7247589,46.9,0.0,0,-3.52%
fabric_71,34,1500x5000,1,459106,85.2,1.00,1,642080,85.2,0.0,0,39.85%
paper_72,53,1000x1400,7,1701476,78.0,7.00,7,1745731,78.0,0.0,0,2.60%
laminate_73,28,2800x2070,2,2096984,74.7,2.00,2,1923840,74.7,0.0,0,-8.26%
metal_directional_74,23,1500x3000,2,2450869,69.2,2.00,2,2408275,69.2,0.0,0,-1.74%
fabric_75,25,1500x5000,1,2184407,60.1,1.00,1,1603849,60.1,0.0,0,-26.58%
vinyl_76,26,2000x20000,2,26033217,61.0,2.00,2,25977433,61.0,0.0,0,-0.21%
fabric_77,21,1500x5000,1,844349,79.8,1.00,1,931734,79.8,0.0,0,10.35%
laminate_78,25,2800x2070,1,737381,75.7,1.00,1,399341,75.7,0.0,0,-45.84%
vinyl_79,22,2000x20000,1,1316480,84.3,1.00,1,800721,84.3,0.0,0,-39.18%
vinyl_80,21,2000x20000,2,11591571,73.0,2.00,2,11899070,73.0,0.0,0,2.65%
