Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
composite_directional_01,37,2500x1800,3,1498312,84.4,3.00,3,1372277,84.4,0.0,0,-8.41%
fabric_02,31,1500x5000,1,791945,80.0,1.00,1,588857,80.0,0.0,0,-25.64%
metal_directional_03,25,1500x3000,3,2379782,75.4,3.00,3,2658382,75.4,0.0,0,11.71%
fabric_04,30,1500x5000,2,6369773,51.4,2.00,2,6351010,51.4,0.0,0,-0.29%
composite_directional_05,37,2500x1800,3,2877426,75.4,3.00,3,2759603,75.4,0.0,0,-4.09%
composite_directional_06,35,2500x1800,3,5289126,57.5,2.00,2,587862,86.3,33.3,1,-3.81%
laminate_07,38,2800x2070,3,3849375,72.9,3.00,3,3587560,72.9,0.0,0,-6.80%
composite_directional_08,42,2500x1800,3,2005793,81.6,3.00,3,1773189,81.6,0.0,0,-11.60%
fabric_09,30,1500x5000,2,4614168,64.3,2.00,2,4770656,64.3,0.0,0,3.39%
vinyl_10,22,2000x20000,1,2570094,83.4,1.00,1,2214225,83.4,0.0,0,-13.85%
paper_11,60,1000x1400,7,1442768,80.7,7.00,7,1421857,80.7,0.0,0,-1.45%
composite_directional_12,31,2500x1800,3,5563948,57.3,2.00,2,779550,86.0,33.3,1,-5.11%
vinyl_13,26,2000x20000,2,25692581,59.1,2.00,2,26118008,59.1,0.0,0,1.66%
laminate_14,25,2800x2070,2,2246941,71.6,2.00,2,2308818,71.6,0.0,0,2.75%
vinyl_15,17,2000x20000,2,34064996,52.6,2.00,2,30427869,52.6,0.0,0,-10.68%
vinyl_16,21,2000x20000,1,3864624,80.0,1.00,1,3312631,80.0,0.0,0,-14.28%
paper_17,39,1000x1400,5,1737834,70.0,5.00,5,1695803,70.0,0.0,0,-2.42%
metal_directional_18,29,1500x3000,2,1398558,78.6,2.00,2,1469869,78.6,0.0,0,5.10%
metal_directional_19,26,1500x3000,3,5603470,56.4,2.20,2,879197,84.6,33.3,1,-4.00%
paper_20,41,1000x1400,6,1321737,78.8,6.00,6,1435359,78.8,0.0,0,8.60%
metal_directional_21,31,1500x3000,4,4849322,69.8,4.00,4,4849774,69.8,0.0,0,0.01%
composite_directional_22,34,2500x1800,3,5493656,57.6,2.00,2,852741,86.5,33.3,1,-2.57%
laminate_23,28,2800x2070,2,3015001,63.7,2.00,2,3161262,63.7,0.0,0,4.85%
fabric_24,26,1500x5000,1,884355,79.8,1.00,1,1015158,79.8,0.0,0,14.79%
fabric_25,34,1500x5000,1,572273,84.9,1.00,1,628229,84.9,0.0,0,9.78%
laminate_26,27,2800x2070,2,3127971,64.4,2.00,2,3283459,64.4,0.0,0,4.97%
composite_directional_27,34,2500x1800,3,4273356,65.7,3.00,3,4074876,65.7,0.0,0,-4.64%
composite_directional_28,40,2500x1800,2,615784,89.6,2.40,2,369159,89.6,0.0,0,-40.05%
composite_directional_29,35,2500x1800,4,7160083,58.6,3.00,3,2491601,78.2,25.0,1,-2.35%
paper_30,54,1000x1400,8,2592322,72.3,7.20,7,1232419,82.6,12.5,1,1.55%
metal_directional_31,20,1500x3000,2,4453683,45.5,2.00,2,4619926,45.5,0.0,0,3.73%
laminate_32,39,2800x2070,3,5938512,60.9,3.00,3,5436174,60.9,0.0,0,-8.46%
paper_33,38,1000x1400,6,1651486,74.8,6.00,6,1674444,74.8,0.0,0,1.39%
vinyl_34,28,2000x20000,2,4625829,85.6,2.60,2,2685188,85.6,0.0,0,-41.95%
paper_35,54,1000x1400,9,3314686,70.5,8.00,8,1760783,79.3,11.1,1,-4.64%
composite_directional_36,32,2500x1800,4,7190339,58.5,3.00,3,2528626,78.0,25.0,1,-2.25%
fabric_37,20,1500x5000,1,2083560,60.3,1.00,1,2465858,60.3,0.0,0,18.35%
metal_directional_38,26,1500x3000,3,4730302,62.1,3.00,3,4751965,62.1,0.0,0,0.46%
laminate_39,30,2800x2070,2,3422999,62.6,2.00,2,3080675,62.6,0.0,0,-10.00%
metal_directional_40,34,1500x3000,2,3670141,55.2,2.00,2,3562248,55.2,0.0,0,-2.94%
paper_41,51,1000x1400,6,1232713,79.7,6.00,6,910423,79.7,0.0,0,-26.14%
laminate_42,25,2800x2070,2,4362028,55.2,2.00,2,4568814,55.2,0.0,0,4.74%
composite_directional_43,39,2500x1800,4,5744101,65.6,3.40,3,1061208,87.4,25.0,1,-3.18%
composite_directional_44,31,2500x1800,3,5656487,56.6,2.40,2,1024055,84.8,33.3,1,-2.34%
composite_directional_45,36,2500x1800,3,6182007,50.7,2.00,2,1812148,76.0,33.3,1,2.11%
laminate_46,33,2800x2070,2,391636,87.1,2.00,2,152664,87.1,0.0,0,-61.02%
vinyl_47,30,2000x20000,2,39245230,47.9,2.00,2,36196522,47.9,0.0,0,-7.77%
fabric_48,31,1500x5000,2,5145574,56.1,2.00,2,5028772,56.1,0.0,0,-2.27%
fabric_49,39,1500x5000,2,4765468,58.4,2.00,2,5373268,58.4,0.0,0,12.75%
fabric_50,29,1500x5000,2,7183003,44.1,2.00,2,7149018,44.1,0.0,0,-0.47%
vinyl_51,28,2000x20000,2,14531391,72.6,2.00,2,11591363,72.6,0.0,0,-20.23%
paper_52,39,1000x1400,5,1059094,80.2,5.00,5,913114,80.2,0.0,0,-13.78%
metal_directional_53,34,1500x3000,2,789679,86.0,2.00,2,709224,86.0,0.0,0,-10.19%
laminate_54,25,2800x2070,2,1298528,81.0,2.00,2,1147727,81.0,0.0,0,-11.61%
composite_directional_55,39,2500x1800,3,4729173,62.0,3.00,3,4581733,62.0,0.0,0,-3.12%
vinyl_56,17,2000x20000,1,6315249,74.6,1.00,1,5428878,74.6,0.0,0,-14.04%
composite_directional_57,36,2500x1800,3,2720744,75.9,3.00,3,2919436,75.9,0.0,0,7.30%
composite_directional_58,35,2500x1800,2,1181009,80.8,2.00,2,1400279,80.8,0.0,0,18.57%
metal_directional_59,28,1500x3000,2,3565233,56.1,2.00,2,3510047,56.1,0.0,0,-1.55%
fabric_60,38,1500x5000,2,5958680,56.2,2.00,2,5656894,56.2,0.0,0,-5.06%
metal_directional_61,20,1500x3000,2,2455758,68.6,2.00,2,2565660,68.6,0.0,0,4.48%
fabric_62,35,1500x5000,2,7826052,44.2,1.20,1,354198,88.3,50.0,1,0.36%
laminate_63,34,2800x2070,3,4263791,68.7,3.00,3,4107801,68.7,0.0,0,-3.66%
fabric_64,21,1500x5000,1,1812224,69.4,1.00,1,1453014,69.4,0.0,0,-19.82%
laminate_65,33,2800x2070,2,2888822,64.8,2.00,2,3108671,64.8,0.0,0,7.61%
vinyl_66,16,2000x20000,2,28643149,54.3,2.00,2,28827947,54.3,0.0,0,0.65%
fabric_67,38,1500x5000,2,4180103,64.6,2.00,2,4265489,64.6,0.0,0,2.04%
paper_68,46,1000x1400,7,2153629,72.1,6.60,6,896402,84.1,14.3,1,6.63%
vinyl_69,16,2000x20000,1,5589331,67.9,1.00,1,3883446,67.9,0.0,0,-30.52%
fabric_70,33,1500x5000,2,7512189,46.9,2.00,2,7288135,46.9,0.0,0,-2.98%
fabric_71,34,1500x5000,1,459106,85.2,1.00,1,619737,85.2,0.0,0,34.99%
paper_72,53,1000x1400,7,1701476,78.0,7.00,7,1666344,78.0,0.0,0,-2.06%
laminate_73,28,2800x2070,2,2096984,74.7,2.00,2,1815279,74.7,0.0,0,-13.43%
metal_directional_74,23,1500x3000,2,2450869,69.2,2.00,2,2271607,69.2,0.0,0,-7.31%
fabric_75,25,1500x5000,1,2184407,60.1,1.00,1,2118720,60.1,0.0,0,-3.01%
vinyl_76,26,2000x20000,2,26033217,61.0,2.00,2,26680808,61.0,0.0,0,2.49%
fabric_77,21,1500x5000,1,844349,79.8,1.00,1,540767,79.8,0.0,0,-35.95%
laminate_78,25,2800x2070,1,737381,75.7,1.00,1,478807,75.7,0.0,0,-35.07%
vinyl_79,22,2000x20000,1,1316480,84.3,1.00,1,2261934,84.3,0.0,0,71.82%
vinyl_80,21,2000x20000,2,11591571,73.0,2.00,2,11984637,73.0,0.0,0,3.39%
metal_directional_81,30,1500x3000,3,4056125,66.1,3.00,3,4144050,66.1,0.0,0,2.17%
fabric_82,20,1500x5000,1,802356,74.0,1.00,1,644580,74.0,0.0,0,-19.66%
composite_directional_83,35,2500x1800,3,2054373,81.6,3.00,3,2087956,81.6,0.0,0,1.63%
laminate_84,36,2800x2070,2,198164,89.7,2.80,2,87917,89.7,0.0,0,-55.63%
metal_directional_85,28,1500x3000,2,2094034,72.9,2.00,2,1970443,72.9,0.0,0,-5.90%
fabric_86,26,1500x5000,1,1277710,70.7,1.00,1,929596,70.7,0.0,0,-27.25%
paper_87,36,1000x1400,6,2629712,66.5,5.00,5,1168662,79.7,16.7,1,-2.32%
laminate_88,25,2800x2070,2,3810588,60.8,2.00,2,3602986,60.8,0.0,0,-5.45%
paper_89,53,1000x1400,8,2691353,72.0,7.40,7,1142743,82.2,12.5,1,-5.52%
