Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
plastic_01,50,2000x4000,3,6388941,64.2,3.00,3,7091911,64.2,0.0,0,11.00%
plastic_02,50,2000x4000,3,4384212,72.9,3.00,3,4282759,72.9,0.0,0,-2.31%
plastic_03,43,2000x4000,2,1032073,78.6,2.00,2,1081626,78.6,0.0,0,4.80%
plastic_04,36,2000x4000,2,2000876,72.3,2.00,2,1955082,72.3,0.0,0,-2.29%
plastic_05,33,2000x4000,2,4245030,58.5,2.00,2,5599969,58.5,0.0,0,31.92%
plastic_06,41,2000x4000,2,2150146,70.4,2.00,2,2200918,70.4,0.0,0,2.36%
plastic_07,41,2000x4000,2,2938411,66.7,2.00,2,3491308,66.7,0.0,0,18.82%
plastic_08,45,2000x4000,2,1072980,79.7,2.00,2,982709,79.7,0.0,0,-8.41%
plastic_09,33,2000x4000,2,4792186,54.6,2.00,2,5514586,54.6,0.0,0,15.07%
plastic_10,30,2000x4000,2,7154317,49.1,2.00,2,6660760,49.1,0.0,0,-6.90%
plastic_11,37,2000x4000,2,3407148,64.0,2.00,2,3700900,64.0,0.0,0,8.62%
plastic_12,49,2000x4000,2,747232,84.2,2.00,2,665224,84.2,0.0,0,-10.97%
plastic_13,45,2000x4000,2,1153889,81.6,2.00,2,989085,81.6,0.0,0,-14.28%
plastic_14,39,2000x4000,2,2317473,72.5,2.00,2,2759984,72.5,0.0,0,19.09%
plastic_15,44,2000x4000,2,824079,81.0,2.00,2,849607,81.0,0.0,0,3.10%
plastic_16,33,2000x4000,2,5741055,55.4,2.00,2,5567337,55.4,0.0,0,-3.03%
plastic_17,38,2000x4000,2,1364240,74.4,2.00,2,1919951,74.4,0.0,0,40.73%
plastic_18,47,2000x4000,3,7039561,63.8,3.00,3,5787092,63.8,0.0,0,-17.79%
plastic_19,42,2000x4000,2,682448,79.3,2.00,2,660433,79.3,0.0,0,-3.23%
plastic_20,50,2000x4000,2,516195,82.5,2.00,2,1172793,82.5,0.0,0,127.20%
plastic_21,45,2000x4000,2,1331085,80.4,2.00,2,1284592,80.4,0.0,0,-3.49%
plastic_22,50,2000x4000,3,8055975,59.7,3.00,3,7866501,59.7,0.0,0,-2.35%
plastic_23,33,2000x4000,2,3933104,60.1,2.00,2,5129496,60.1,0.0,0,30.42%
plastic_24,49,2000x4000,3,9115778,54.3,2.00,2,1239939,81.5,33.3,1,1.36%
plastic_25,39,2000x4000,2,2061312,70.4,2.00,2,2334339,70.4,0.0,0,13.25%
plastic_26,41,2000x4000,2,1734068,78.3,2.00,2,1640471,78.3,0.0,0,-5.40%
plastic_27,36,2000x4000,2,2599278,69.3,2.00,2,2824494,69.3,0.0,0,8.66%
plastic_28,32,2000x4000,2,4942287,58.5,2.00,2,4913410,58.5,0.0,0,-0.58%
plastic_29,33,2000x4000,2,3980168,61.2,2.00,2,4105372,61.2,0.0,0,3.15%
plastic_30,39,2000x4000,2,2801544,66.1,2.00,2,3500284,66.1,0.0,0,24.94%
